time;ExpDiode_V;ExpDiode_I
0.0518;-0.84433;-1.00E-12
0.0519;-0.82708;-1.00E-12
0.052;-0.80902;-1.00E-12
0.0521;-0.79016;-1.00E-12
0.0522;-0.77051;-1.00E-12
0.0523;-0.75011;-1.00E-12
0.0524;-0.72897;-1.00E-12
0.0525;-0.70711;-1.00E-12
0.0526;-0.68455;-1.00E-12
0.0527;-0.66131;-1.00E-12
0.0528;-0.63742;-1.00E-12
0.0529;-0.61291;-1.00E-12
0.053;-0.58779;-1.00E-12
0.0531;-0.56208;-1.00E-12
0.0532;-0.53583;-1.00E-12
0.0533;-0.50904;-1.00E-12
0.0534;-0.48175;-1.00E-12
0.0535;-0.45399;-1.00E-12
0.0536;-0.42578;-1.00E-12
0.0537;-0.39715;-1.00E-12
0.0538;-0.36812;-1.00E-12
0.0539;-0.33874;-1.00E-12
0.054;-0.30902;-1.00E-12
0.0541;-0.27899;-1.00E-12
0.0542;-0.24869;-1.00E-12
0.0543;-0.21814;-1.00E-12
0.0544;-0.18738;-9.99E-13
0.0545;-0.15643;-9.98E-13
0.0546;-0.12533;-9.92E-13
0.0547;-0.094108;-9.74E-13
0.0548;-0.062791;-9.12E-13
0.0549;-0.031411;-7.03E-13
0.055;7.31E-14;-4.65E-16
0.0551;0.031411;2.37E-12
0.0552;0.062791;1.03E-11
0.0553;0.094108;3.71E-11
0.0554;0.12533;1.26E-10
0.0555;0.15643;4.23E-10
0.0556;0.18738;1.40E-09
0.0557;0.21814;4.62E-09
0.0558;0.24869;1.51E-08
0.0559;0.27899;4.86E-08
0.056;0.30902;1.55E-07
0.0561;0.33873;4.90E-07
0.0562;0.36811;1.53E-06
0.0563;0.3971;4.69E-06
0.0564;0.42564;1.41E-05
0.0565;0.45357;4.17E-05
0.0566;0.48057;0.00011836
0.0567;0.50589;0.00031518
0.0568;0.52832;0.00075057
0.0569;0.54676;0.0015319
0.057;0.56111;0.0026679
0.0571;0.5721;0.0040811
0.0572;0.58064;0.0056788
0.0573;0.58744;0.0073875
0.0574;0.59299;0.0091561
0.0575;0.59761;0.01095
0.0576;0.60153;0.012744
0.0577;0.60491;0.01452
0.0578;0.60784;0.016267
0.0579;0.61042;0.017973
0.058;0.6127;0.019631
0.0581;0.61473;0.021235
0.0582;0.61655;0.022778
0.0583;0.61817;0.024257
0.0584;0.61963;0.025667
0.0585;0.62095;0.027006
0.0586;0.62213;0.02827
0.0587;0.62319;0.029456
0.0588;0.62415;0.030563
0.0589;0.625;0.031588
0.059;0.62576;0.03253
0.0591;0.62643;0.033386
0.0592;0.62702;0.034156
0.0593;0.62753;0.034838
0.0594;0.62797;0.035432
0.0595;0.62833;0.035936
0.0596;0.62863;0.036349
0.0597;0.62886;0.036671
0.0598;0.62902;0.036901
0.0599;0.62912;0.037039
0.06;0.62915;0.037085
0.0601;0.62912;0.037039
0.0602;0.62902;0.036901
0.0603;0.62886;0.036671
0.0604;0.62863;0.036349
0.0605;0.62833;0.035936
0.0606;0.62797;0.035432
0.0607;0.62753;0.034838
0.0608;0.62702;0.034156
0.0609;0.62643;0.033386
0.061;0.62576;0.03253
0.0611;0.625;0.031588
0.0612;0.62415;0.030563
0.0613;0.62319;0.029456
0.0614;0.62213;0.02827
0.0615;0.62095;0.027006
0.0616;0.61963;0.025667
0.0617;0.61817;0.024257
0.0618;0.61655;0.022778
0.0619;0.61473;0.021235
0.062;0.6127;0.019631
0.0621;0.61042;0.017973
0.0622;0.60784;0.016267
0.0623;0.60491;0.01452
0.0624;0.60153;0.012744
0.0625;0.59761;0.01095
0.0626;0.59299;0.0091561
0.0627;0.58744;0.0073875
0.0628;0.58064;0.0056788
0.0629;0.5721;0.0040811
0.063;0.56111;0.0026679
0.0631;0.54676;0.0015319
0.0632;0.52832;0.00075057
0.0633;0.50589;0.00031518
0.0634;0.48057;0.00011836
0.0635;0.45357;4.17E-05
0.0636;0.42564;1.41E-05
0.0637;0.3971;4.69E-06
0.0638;0.36811;1.53E-06
0.0639;0.33873;4.90E-07
0.064;0.30902;1.55E-07
0.0641;0.27899;4.86E-08
0.0642;0.24869;1.50E-08
0.0643;0.21814;4.62E-09
0.0644;0.18738;1.40E-09
0.0645;0.15643;4.23E-10
0.0646;0.12533;1.26E-10
0.0647;0.094108;3.71E-11
0.0648;0.062791;1.03E-11
0.0649;0.031411;2.37E-12
0.065;-7.04E-14;-8.55E-16
0.0651;-0.031411;-7.04E-13
0.0652;-0.062791;-9.12E-13
0.0653;-0.094108;-9.74E-13
0.0654;-0.12533;-9.92E-13
0.0655;-0.15643;-9.98E-13
0.0656;-0.18738;-9.99E-13
0.0657;-0.21814;-1.00E-12
0.0658;-0.24869;-1.00E-12
0.0659;-0.27899;-1.00E-12
0.066;-0.30902;-1.00E-12
0.0661;-0.33874;-1.00E-12
0.0662;-0.36812;-1.00E-12
0.0663;-0.39715;-1.00E-12
0.0664;-0.42578;-1.00E-12
0.0665;-0.45399;-1.00E-12
0.0666;-0.48175;-1.00E-12
0.0667;-0.50904;-1.00E-12
0.0668;-0.53583;-1.00E-12
0.0669;-0.56208;-1.00E-12
0.067;-0.58779;-1.00E-12
0.0671;-0.61291;-1.00E-12
0.0672;-0.63742;-1.00E-12
0.0673;-0.66131;-1.00E-12
0.0674;-0.68455;-1.00E-12
0.0675;-0.70711;-1.00E-12
0.0676;-0.72897;-1.00E-12
0.0677;-0.75011;-1.00E-12
0.0678;-0.77051;-1.00E-12
0.0679;-0.79016;-1.00E-12
0.068;-0.80902;-1.00E-12
0.0681;-0.82708;-1.00E-12
0.0682;-0.84433;-1.00E-12
0.0683;-0.86074;-1.00E-12
0.0684;-0.87631;-1.00E-12
