time,v1,v2,i12,i34
0.0366,1.6195235861972,0.155816384078761,4.81753674101715,3.19801315481996
0.0367,1.9084240493127,0.125716684043711,5.09041415750373,3.18199010819103
0.0368,2.1954411286644,0.0954929169295823,5.35826794978996,3.16282682112557
0.0369,2.48029157302348,0.0651749099574968,5.62083377852132,3.14054220549784
0.037,2.76269426936885,0.0347925833501736,5.87785252292474,3.1151582535559
0.0371,3.04237052031184,0.00437592080447793,6.12907053652977,3.08670001621793
0.0372,3.31904431913696,-0.0260450600987957,6.3742398974869,3.05519557834994
0.0373,3.59244262218719,-0.0564403375185348,6.61311865323652,3.02067603104934
0.0374,3.86229561832514,-0.0867799149811367,6.84547105928689,2.98317544096175
0.0375,4.12833699520412,-0.11703385098331,7.07106781186548,2.94273081666136
0.0376,4.39030420208627,-0.147172288540622,7.28968627421412,2.89938207212785
0.0377,4.64793870894845,-0.177165484652646,7.50111069630461,2.85317198735616
0.0378,4.90098626162014,-0.206983839655644,7.70513242775789,2.80414616613775
0.0379,5.14919713270171,-0.236597926433724,7.90155012375691,2.7523529910552
0.038,5.39232636801507,-0.265978519459844,8.09016994374947,2.6978435757344
0.0381,5.63013402834399,-0.29509662363773,8.27080574274562,2.64067171440164
0.0382,5.86238542622503,-0.323923502916527,8.44327925502015,2.58089382879513
0.0383,6.08885135755579,-0.352430708649699,8.60742027003944,2.51856891248364
0.0384,6.30930832779166,-0.380590107670363,8.76306680043864,2.45375847264698
0.0385,6.52353877250789,-0.40837391005527,8.91006524188368,2.38652646937579
0.0386,6.73133127210945,-0.435754696550043,9.04827052466019,2.31693925255075
0.0387,6.93248076047657,-0.462705445628616,9.17754625683982,2.24506549636324
0.0388,7.12678872734028,-0.489199560160185,9.29776485888251,2.17097613154223
0.0389,7.314063414188,-0.515210893657288,9.40880768954226,2.09474427535426
0.039,7.49412000350604,-0.540713776079231,9.51056516295153,2.01644515944549
0.0391,7.66678080117217,-0.565683039165238,9.60293685676944,1.93615605559726
0.0392,7.83187541181819,-0.590094041272492,9.68583161128631,1.85395619946812
0.0393,7.9892409069896,-0.613922691694385,9.75916761938748,1.76992671239788
0.0394,8.13872198593626,-0.637145474435153,9.82287250728689,1.68415052135064
0.0395,8.28017112887547,-0.659739471417263,9.87688340595138,1.59671227707591
0.0396,8.41344874257619,-0.681682385098772,9.92114701314478,1.50769827056859
0.0397,8.53842329812059,-0.702952560478305,9.9556196460308,1.41719634791021
