time,v1,v2,v3,i12,i23
0.0099,-9.99506560365732,-4.99753280182866,-4.99753280182866,-4.99753280182866,-1.11022302462516e-16
0.01,-10,-5,-5,-5,-5.55111512312578e-17
0.0101,-9.99506560365731,-4.99753280182866,-4.99753280182866,-4.99753280182866,-5.55111512312578e-17
0.0102,-9.98026728428272,-4.99013364214136,-4.99013364214136,-4.99013364214136,-1.11022302462516e-16
0.0103,-9.9556196460308,-4.9778098230154,-4.9778098230154,-4.9778098230154,-5.55111512312578e-17
0.0104,-9.92114701314478,-4.96057350657239,-4.96057350657239,-4.96057350657239,0
0.0105,-9.87688340595138,-4.93844170297569,-4.93844170297569,-4.93844170297569,-1.11022302462516e-16
0.0106,-9.82287250728689,-4.91143625364344,-4.91143625364344,-4.91143625364344,-1.11022302462516e-16
0.0107,-9.75916761938747,-4.87958380969374,-4.87958380969374,-4.87958380969374,-1.11022302462516e-16
0.0108,-9.68583161128631,-4.84291580564316,-4.84291580564315,-4.84291580564316,-5.55111512312578e-17
0.0109,-9.60293685676943,-4.80146842838472,-4.80146842838471,-4.80146842838472,-1.11022302462516e-16
0.011,-9.51056516295154,-4.75528258147577,-4.75528258147577,-4.75528258147577,-5.55111512312578e-17
0.0111,-9.40880768954226,-4.70440384477113,-4.70440384477113,-4.70440384477113,-5.55111512312578e-17
0.0112,-9.29776485888252,-4.64888242944126,-4.64888242944126,-4.64888242944126,-1.11022302462516e-16
0.0113,-9.17754625683981,-4.5887731284199,-4.5887731284199,-4.5887731284199,0
0.0114,-9.0482705246602,-4.5241352623301,-4.5241352623301,-4.5241352623301,0
0.0115,-8.91006524188368,-4.45503262094184,-4.45503262094184,-4.45503262094184,0
0.0116,-8.76306680043863,-4.38153340021932,-4.38153340021932,-4.38153340021932,0
0.0117,-8.60742027003943,-4.30371013501972,-4.30371013501972,-4.30371013501972,0
0.0118,-8.44327925502015,-4.22163962751007,-4.22163962751007,-4.22163962751008,-5.55111512312578e-17
0.0119,-8.27080574274562,-4.13540287137281,-4.13540287137281,-4.13540287137281,-1.11022302462516e-16
0.012,-8.09016994374947,-4.04508497187474,-4.04508497187474,-4.04508497187474,0
0.0121,-7.9015501237569,-3.95077506187845,-3.95077506187845,-3.95077506187845,-1.11022302462516e-16
0.0122,-7.70513242775789,-3.85256621387895,-3.85256621387894,-3.85256621387895,0
0.0123,-7.5011106963046,-3.7505553481523,-3.7505553481523,-3.7505553481523,-5.55111512312578e-17
0.0124,-7.28968627421411,-3.64484313710705,-3.64484313710705,-3.64484313710705,-5.55111512312578e-17
0.0125,-7.07106781186547,-3.53553390593273,-3.53553390593273,-3.53553390593274,-5.55111512312578e-17
0.0126,-6.84547105928688,-3.42273552964344,-3.42273552964344,-3.42273552964344,-5.55111512312578e-17
0.0127,-6.61311865323652,-3.30655932661826,-3.30655932661826,-3.30655932661826,-5.55111512312578e-17
0.0128,-6.3742398974869,-3.18711994874345,-3.18711994874345,-3.18711994874345,-5.55111512312578e-17
0.0129,-6.12907053652977,-3.06453526826488,-3.06453526826488,-3.06453526826488,-5.55111512312578e-17
0.013,-5.87785252292473,-2.93892626146236,-2.93892626146236,-2.93892626146236,-5.55111512312578e-17
0.0131,-5.6208337785213,-2.81041688926065,-2.81041688926065,-2.81041688926065,0
0.0132,-5.35826794978996,-2.67913397489498,-2.67913397489498,-2.67913397489498,-5.55111512312578e-17
0.0133,-5.09041415750371,-2.54520707875186,-2.54520707875186,-2.54520707875186,0
0.0134,-4.81753674101715,-2.40876837050858,-2.40876837050858,-2.40876837050858,-5.55111512312578e-17
0.0135,-4.53990499739547,-2.26995249869773,-2.26995249869773,-2.26995249869774,0
0.0136,-4.25779291565072,-2.12889645782536,-2.12889645782536,-2.12889645782536,0
0.0137,-3.9714789063478,-1.9857394531739,-1.9857394531739,-1.9857394531739,-2.77555756156289e-17
0.0138,-3.68124552684678,-1.84062276342339,-1.84062276342339,-1.84062276342339,0
0.0139,-3.38737920245291,-1.69368960122646,-1.69368960122646,-1.69368960122646,-2.77555756156289e-17
0.014,-3.09016994374948,-1.54508497187474,-1.54508497187474,-1.54508497187474,-5.55111512312578e-17
0.0141,-2.78991106039229,-1.39495553019614,-1.39495553019614,-1.39495553019614,0
0.0142,-2.48689887164854,-1.24344943582427,-1.24344943582427,-1.24344943582427,0
0.0143,-2.18143241396542,-1.09071620698271,-1.09071620698271,-1.09071620698271,0
0.0144,-1.87381314585724,-0.936906572928619,-0.936906572928619,-0.936906572928619,0
0.0145,-1.56434465040231,-0.782172325201156,-0.782172325201156,-0.782172325201156,-1.38777878078145e-17
0.0146,-1.25333233564305,-0.626666167821523,-0.626666167821523,-0.626666167821523,-1.38777878078145e-17
0.0147,-0.94108313318514,-0.47054156659257,-0.47054156659257,-0.47054156659257,-1.38777878078145e-17
0.0148,-0.627905195293133,-0.313952597646566,-0.313952597646566,-0.313952597646566,0
0.0149,-0.314107590781284,-0.157053795390642,-0.157053795390642,-0.157053795390642,0
