"time","slack.i[1]","slack.i[2]","slack.i[3]","der(slack.i[1])","der(slack.i[2])","der(slack.i[3])","busBar1.v[1]","busBar1.v[2]","busBar1.v[3]","busBar2.v[1]","busBar2.v[2]","busBar2.v[3]","piLine1.v[1]","piLine1.v[2]","piLine1.v[3]"
0.0066,-1.922573050397883,-10.97127922257551,12.89385227297332,4328.656034457426,-2687.402284348324,-1641.253750109322,-43268.52505287628,89794.92607082763,-46526.40101795137,-42815.70261109778,89481.35852637772,-46665.65591527998,-452.822441778495,313.5675444499066,139.2548973286102
0.0067,-1.488829973169357,-11.2345615831978,12.7233915563671,4345.49201841975,-2577.81183887731,-1767.680179542005,-45719.36330618661,89809.69930923503,-44090.33600304847,-45263.60314330662,89507.02382000687,-44243.42067670025,-455.7601628799894,302.6754892281606,153.0846736517851
0.0068,-1.053617600512845,-11.48675678787883,12.54037438839165,4358.039526154167,-2465.677403626205,-1892.362122527961,-48125.0820676794,89735.84121728064,-41610.75914960128,-47666.83396397842,89444.35648751145,-41777.52252353307,-458.2481037009784,291.4847297691886,166.7633739317898
0.0069,-0.617365434502563,-11.72761595037935,12.34498138488188,4366.286175059729,-2351.10964260895,-2015.176532450633,-50483.30718338291,89573.42468398418,-39090.11750060131,-50023.02337441123,89293.41837389623,-39270.39499948503,-460.2838089716752,280.0063100879488,180.2774988837118
0.007,-0.1805040033398775,-11.95690137183072,12.13740537517056,4370.223826919981,-2234.221620908577,-2136.002206011695,-52791.71136982,89322.60999485526,-36530.8986250353,-52329.84610010021,89054.35843680291,-36724.51233670277,-461.8652697197904,268.2515580523468,193.6137116674727
0.0071,0.2565355634916764,-12.17438677522765,11.91785121173592,4369.848595457304,-2115.128692117692,-2254.719903339395,-55048.01651075557,88983.64467371082,-33935.62816295529,-54585.02558555014,88727.41259960462,-34142.3870140545,-462.9909252054349,256.2320741061994,206.7588510992136
0.0072,0.6933219606935863,-12.37985752870335,11.68653556800974,4365.160850895151,-1993.948386317976,-2371.212464576958,-57249.99590542267,88556.86323839902,-31306.8673329764,-56786.3362408886,88312.90351839607,-31526.5672775075,-463.659664534076,243.959720002953,219.6999445311012
0.0073,1.129424132819648,-12.57311085741224,11.44368672459256,4356.165219581908,-1870.800294189991,-2485.364925392281,-59395.47646600683,88042.6868706706,-28647.21040466381,-58931.60563825505,87811.24026356125,-28879.63462530627,-463.8708277517799,231.4466071093484,232.4242206424678
0.0074,1.564411699683687,-12.75395604366996,11.18954434398622,4342.870579170703,-1745.805948226984,-2597.064630943829,-61482.34086222188,87441.62300052322,-25959.28213830139,-61018.71665575082,87222.91791614672,-26204.20126039595,-463.6242064710532,218.7050843765028,244.9191220945613
0.0075,1.997855381078993,-12.92221461512764,10.92435923404861,4325.290049759828,-1619.088702497241,-2706.201347262586,-63508.52961085884,86754.26480542941,-23245.73519457063,-63045.60956679218,86548.5170793064,-23502.90751251427,-462.9200440666536,205.7477261230088,257.1723179436449
0.0076,2.429327420418496,-13.07772052087599,10.64839310045745,4303.440981264282,-1490.773611604545,-2812.667369659628,-65472.04310824761,85981.29062494196,-20509.24751669441,-65010.28407278025,85788.70330524676,-20778.41923246656,-461.7590354673594,192.5873196952016,269.1717157721469
0.0077,2.85840200688755,-13.2203202953479,10.36191828846031,4277.344936136211,-1360.987307194768,-2916.35762894148,-67370.94360362408,85123.46329125472,-17752.51968763071,-66910.80127716965,84944.22643841509,-18033.42516124551,-460.1423264544283,179.2368528396328,280.9054736147991
0.0078,3.284655695674272,-13.34987320978955,10.06521751411526,4247.027668005747,-1229.85787273568,-3017.169795270158,-69203.35711145638,84181.62937637928,-14978.27226492296,-68745.28559893349,84015.91987551855,-15270.63427658513,-458.071512522889,165.7095008607284,292.3620116621696
0.0079,3.707667825853026,-13.46625141112502,9.758583585271953,4212.519096317455,-1097.514717061287,-3115.004379256715,-70967.4752608422,83156.71835668063,-12189.24309583849,-70511.92662353,83004.69974306755,-12492.77311953766,-455.5486373121967,152.0186136130797,303.5300236991716
0.008,4.127020935521262,-13.56934004811756,9.442319112596254,4173.853276812149,-964.0884467574427,-3209.764830055143,-72661.55708015269,82049.74169559623,-9388.184615443579,-72208.98088956242,81911.56399325983,-9702.583103697501,-452.5761905902764,138.1777023363975,314.3984882539226
0.0081,4.542301173786933,-13.65903738472238,9.116736210935404,4131.068367968129,-829.7107374490538,-3301.357630519266,-74283.93071516123,80861.79184544357,-6577.861130282414,-73834.77360935979,80737.59141910401,-6902.817809744306,-449.1571058014379,124.2004263395647,324.9566794618922
0.0082,4.9530987091926,-13.73525490049808,8.782156191305424,4084.206593373327,-694.5142038237,-3389.692389549499,-75832.9950789615,79594.04116930196,-3761.046090340536,-75387.70032178708,79483.94058978425,-4096.240267997235,-445.2947571744153,110.1005795177043,335.1941776566982
0.0083,5.35900813416767,-13.79791737795993,8.438909243792214,4033.314200108377,-558.6322687093668,-3474.681931398744,-77307.22143204727,78247.7407840313,-940.5193519840914,-76866.22847564959,78151.84870729678,-1285.62023164723,-440.9929563976766,95.89207673451165,345.1008796631384
0.0084,5.759628865116223,-13.84696297681044,8.087334111694201,3978.441412673478,-422.1990309676762,-3556.242381705438,-78705.15489099357,76824.21932557102,1880.935565422485,-78268.8989421791,76742.63038552451,1526.268556654569,-436.2559488144616,81.58894004650938,354.6670087679158
0.0085,6.154565537743296,-13.88234329496181,7.727777757218489,3919.642383873682,-285.3491337220855,-3634.293250151879,-80025.41586425097,75324.88163773678,4700.534226514132,-79594.32745497275,75257.67635281505,4336.651102157611,-431.0884092782217,67.20528492172889,363.883124356521
0.0086,6.543428397234377,-13.90402341631152,7.360595019077097,3856.975141246437,-148.2176313206318,-3708.757509926042,-81266.70141363589,73751.20738580929,7515.494027826544,-80841.20597610981,73698.45207951592,7142.753896593807,-425.4954375260859,52.755306293373,372.7401312327365
0.0087,6.92583368289616,-13.91198194520003,6.986148262303824,3790.501529765444,-10.93985598018435,-3779.56167378506,-82427.78654017333,72104.74959628317,10323.03694389008,-82008.30398703029,72066.49633173938,9941.807655290851,-419.4825531430397,38.25326454378956,381.2292885992301
