"time","busBar1.v[1]","busBar1.v[2]","busBar1.v[3]","busBar2.v[1]","busBar2.v[2]","busBar2.v[3]","RXLoad1.i_l[1]","RXLoad1.i_l[2]","RXLoad1.i_l[3]","der(RXLoad1.i_l[1])","der(RXLoad1.i_l[2])","der(RXLoad1.i_l[3])","RXLoad1.i[3]","RXLoad1.i[2]","RXLoad1.i[1]","slack.i[1]","slack.i[2]","slack.i[3]","der(slack.i[1])","der(slack.i[2])","der(slack.i[3])"
0.0208,86992.93233462657,-24152.93254836675,-62839.99978625975,86702.98899491582,-23898.38723646511,-62804.60175850701,2.784650234992374,-10.70060383119246,7.915953596200184,3376.679420711208,-930.7313773725971,-2445.948043340803,0.130259163327417,-13.663213819184,13.53295465584971,-13.53295465584971,13.663213819184,-0.130259163327417,-2503.439976403151,-2430.056252049187,4933.496221117053
0.0209,86248.41621458794,-21423.79278047576,-64824.62343411209,85954.65027049989,-21175.27638160038,-64779.37388896978,3.120888611822011,-10.78838084539757,7.667492233575655,3347.53509708697,-824.678835349205,-2522.856261740502,-0.3630086617511737,-13.41341510757943,13.77642376932199,-13.77642376932199,13.41341510757943,0.3630086617511737,-2367.549491448761,-2564.150174668291,4931.699656960422
0.021,85418.78332064298,-18673.51031563622,-66745.27300500666,85121.49192555048,-18431.2720001098,-66690.21992550444,3.454047068917157,-10.86551091111421,7.411463842197151,3315.087442511308,-717.8125873371097,-2597.274855176682,-0.8559187931959591,-13.15037934087989,14.00629813406804,-14.00629813406804,13.15037934087989,0.8559187931959591,-2228.380014815094,-2696.222731767934,4924.602738272454
0.0211,84504.85240029525,-15904.79935059552,-68600.05304969965,84204.32519107757,-15669.07690959455,-68535.24828152278,3.783796798074319,-10.93191792185701,7.148121123782791,3279.368050670766,-610.2378955501944,-2669.130155122121,-1.347984035083668,-12.8743654726332,14.22234950771203,-14.22234950771203,12.8743654726332,1.347984035083668,-2087.499920570202,-2825.469042734957,4912.968958120971
0.0212,83507.52539302288,-13120.39226880533,-70387.13312421748,83204.05605566311,-12891.41766670651,-70312.63838893517,4.109812413539524,-10.98753664270115,6.87772422916172,3240.412205619973,-502.0609467282994,-2738.351258890839,-1.83871854632611,-12.58564627080526,14.42436481713412,-14.42436481713412,12.58564627080526,1.83871854632611,-1944.936776655412,-2951.840887955843,4896.777667391117
0.0213,82427.78654017333,-10323.03694389005,-72104.74959628319,82121.66808473715,-10101.03329572917,-72020.63478891914,4.431772166175242,-11.03231210565606,6.600539939480901,3198.258212672101,-393.3884131677104,-2804.869799500931,-2.327637926914031,-12.28450631587041,14.61214424279555,-14.61214424279555,12.28450631587041,2.327637926914031,-1801.297132204467,-3074.928337435785,4876.22548119092
0.0214,81266.70141363586,-7515.494027826437,-73751.20738580935,80958.22572079112,-7300.674760205672,-73657.55096047968,4.749358318886703,-11.06620000696899,6.316841688082377,3152.947526926878,-284.3274321435193,-2868.62009477924,-2.814259670654771,-11.97124233261433,14.78550200328229,-14.78550200328229,11.97124233261433,2.814259670654771,-1657.209958227232,-3194.244062923654,4851.45403490508
0.0215,80025.41586425097,-4700.534226514103,-75324.88163773679,79714.86989399536,-4493.10092575717,-75221.76896820647,5.062257544556171,-11.08916738246647,6.026909837910383,3104.524582324486,-174.9854486801184,-2929.539133643133,-3.298102844098681,-11.64616336499835,14.94426620910105,-14.94426620910105,11.64616336499835,3.298102844098681,-1513.76033226863,-3309.053373216615,4822.813709604115
0.0216,78705.15489099354,-1880.935565422416,-76824.21932557104,78392.84427996592,-1681.092313712781,-76711.75196631077,5.370160891499354,-11.10119089681827,5.731030005319008,3053.037814263837,-65.47075119131826,-2987.567063074763,-3.778691312818689,-11.30959077041903,15.08828208323066,-15.08828208323066,11.30959077041903,3.778691312818689,-1368.925548889653,-3420.514634240593,4789.440175621354
0.0217,77307.22143204724,940.5193519841603,-78247.74078403132,76993.46351595393,1132.571567238854,-78126.0350833484,5.672764510710319,-11.10225863700536,5.429494126295133,2998.538421770511,44.10841134672222,-3042.646833123294,-4.255551545194336,-10.96185720305013,15.21740874822527,-15.21740874822527,10.96185720305013,4.255551545194336,-1221.552628199665,-3529.089777944753,4750.642385883397
0.0218,75832.99507896147,3761.046090340606,-79594.041169302,75518.12220351637,3945.107544199519,-79463.22974795205,5.969769797632988,-11.09236952395525,5.122599726322362,2941.080718109048,153.6436472538703,-3094.724365372116,-4.728213878795658,-10.60330660525283,15.33152048401931,-15.33152048401931,10.60330660525283,4.728213878795658,-1070.019417102943,-3635.507910918578,4705.527297278016
0.0219,74283.9307151612,6577.861130282482,-80861.79184544361,73968.26202843741,6753.744427919993,-80722.00645661277,6.260883619088903,-11.07153359742677,4.810649978337966,2880.720850256328,263.0270315575592,-3143.747881823832,-5.196210326200805,-10.2342925526433,15.43050287881255,-15.43050287881255,10.2342925526433,5.196210326200805,-916.3362592692678,-3739.086372492077,4655.422598519811
0.022,72661.55708015268,9388.184615443648,-82049.74169559624,72345.42846124186,9555.7018562009,-81901.13031757872,6.545818777447407,-11.03977162587577,4.493952848428457,2817.519007123677,372.150282041344,-3189.669289170316,-5.659079835568903,-9.855180486677314,15.51426032222945,-15.51426032222945,9.855180486677314,5.659079835568903,-758.5794080913386,-3840.839645550568,4599.419035936964
0.0221,70967.47526084221,12189.24309583848,-83156.71835668062,70651.21417620948,12348.21870349491,-82999.43287958785,6.824294080291621,-10.9971149516195,4.172820871327962,2751.537215989818,480.9058656671861,-3232.443081652466,-6.116365022835819,-9.466344037963111,15.58270906081346,-15.58270906081346,9.466344037963111,6.116365022835819,-598.0584268161349,-3940.137876319763,4538.196318293723
0.0222,69203.35711145634,14978.27226492302,-84181.62937637929,68887.25151300729,15128.56079151576,-84015.81230419883,7.096034530593646,-10.94360497073369,3.847570440140112,2682.839048916396,589.1872988679233,-3272.026347771693,-6.567612903355608,-9.068163550297848,15.63577645369372,-15.63577645369372,9.068163550297848,6.567612903355608,-440.0916133974533,-4034.057386807818,4474.149042390193
0.0223,67370.94360362407,17752.51968763074,-85123.46329125474,67055.25523170416,17893.99809844046,-84949.25332971827,7.360772064359685,-10.87929468062652,3.518522616266897,2611.491287857565,696.8882599513668,-3308.379547792328,-7.01237655683867,-8.661030453547122,15.67340701043871,-15.67340701043871,8.661030453547122,7.01237655683867,-288.2257699575458,-4120.704829183866,4408.930654617594
0.0224,65472.04310824756,20509.24751669452,-85981.29062494199,65157.05988814466,20641.78894945306,-85798.84883717078,7.618245412828488,-10.80424768700705,3.186002274178624,2537.565380257505,803.9019733952811,-3341.467353636159,-7.450218656049154,-8.245348230463279,15.69556688656543,-15.69556688656543,8.245348230463279,7.450218656049154,-139.1494952107188,-4201.624673213179,4340.774223974899
