"time","capacitor.v1","capacitor.v2","capacitor.i","inductor.i"
0.0415,9.269343696260817,-0.9503060920493878,-0.3592784543771401,0.5910276376722476
0.0416,9.223015331476693,-0.9556695229886656,-0.4599485310380587,0.495720991950607
0.0417,9.167584869971288,-0.9600897092910201,-0.5601645999318503,0.3999251093591699
0.0418,9.103107125734944,-0.9635624228121262,-0.6598278707148015,0.3037345520973246
0.0419,9.02964578783703,-0.9660843036200539,-0.7588400450914197,0.2072442585286342
0.042,8.947273187270833,-0.9676526693179693,-0.8571032435213652,0.1105494257966041
0.0421,8.85607073362058,-0.9682661070946816,-0.9545206098636729,0.0137454972310087
0.0422,8.756128468461103,-0.9679240515524752,-1.050996040703216,-0.08307198915074121
0.0423,8.647544874499436,-0.9666266764787995,-1.146434178194846,-0.1798075017160462
0.0424,8.530427232770641,-0.9643753947349374,-1.240740958556542,-0.2763655638216049
0.0425,8.404891132544339,-0.9611724372218144,-1.333823320678867,-0.3726508834570528
0.0426,8.271060341616064,-0.9570208377441394,-1.425589282329179,-0.4685684445850398
0.0427,8.129067058261553,-0.9519248199355292,-1.515948405025035,-0.5640235850895055
0.0428,7.979051387675477,-0.9458893886135779,-1.604811490188592,-0.6589221015750139
0.0429,7.821161292226088,-0.9389204153671745,-1.692090755696348,-0.753170340329174
0.043,7.655552711666002,-0.9310248947132883,-1.777700188741266,-0.8466752940279781
0.0431,7.482389017727251,-0.9222105593300859,-1.86155523920594,-0.9393446798758537
0.0432,7.301841062372001,-0.9124860700748154,-1.943573112582043,-1.031087042507228
0.0433,7.11408714001429,-0.9018611279642452,-2.023672982510598,-1.121811854546352
0.0434,6.919312433221969,-0.8903461245106268,-2.101775692204837,-1.21142956769421
0.0435,6.717709175386686,-0.8779524350160224,-2.177804177991205,-1.299851742975183
0.0436,6.5094764301151,-0.8646923788518517,-2.251683514464375,-1.386991135612523
0.0437,6.294819541961271,-0.8505789152920806,-2.323340635613481,-1.4727617203214
0.0438,6.0739504274233,-0.8356260331253553,-2.392704900576535,-1.55707886745118
0.0439,5.847087137423529,-0.8198485501777713,-2.459707934970645,-1.639859384792874
0.044,5.614453387234651,-0.8032619083689856,-2.524283443485171,-1.721021535116186
0.0441,5.37627886682174,-0.7858825563878975,-2.586367806429458,-1.80048525004156
0.0442,5.132798674933436,-0.7677276797678307,-2.645899803284896,-1.878172123517066
0.0443,4.884252947365684,-0.7488150929361446,-2.702820533400283,-1.954005440464138
0.0444,4.630887075793892,-0.7291635311553697,-2.757073929936669,-2.027910398781299
0.0445,4.372951128164264,-0.7087924047956409,-2.808606477761941,-2.0998140729663
0.0446,4.110699533302776,-0.6877217428232232,-2.857367197659736,-2.169645454836512
0.0447,3.844391204608144,-0.6659723991130009,-2.903308071423019,-2.237335672310018
0.0448,3.574288957880648,-0.6435658390824548,-2.94638376258753,-2.302817923505075
0.0449,3.300659260032818,-0.6205241269105706,-2.986551669251549,-2.366027542340978
0.045,3.023772246153238,-0.5968700486830261,-3.023772246153233,-2.426902197470207
0.0451,2.743901146195808,-0.572626938372494,-3.058008736977102,-2.485381798604608
0.0452,2.461322102446693,-0.5478186959011966,-3.089227297739836,-2.541408601838639
0.0453,2.176314072133574,-0.5224698365293325,-3.117397205318742,-2.594927368789409
0.0454,1.889158274257063,-0.4966053614721484,-3.14249060990011,-2.645885248427962
0.0455,1.600138076600536,-0.4702507881720153,-3.164482727002849,-2.694231938830833
0.0456,1.30953878089155,-0.4434321433529824,-3.183351926748797,-2.739919783395815
0.0457,1.017647100437947,-0.4161758813452581,-3.199079514403389,-2.782903633058131
0.0458,0.7247511128331277,-0.3885089016957681,-3.211649984481691,-2.823141082785923
0.0459,0.4311399307141532,-0.3604585123025417,-3.22105099110646,-2.860592478803918
0.046,0.1371032197251844,-0.3320523957720596,-3.227273163474654,-2.895220767702594
0.0461,-0.1570687923132723,-0.3033185828772593,-3.230310410139652,-2.926991827262392
0.0462,-0.4510857572233648,-0.2742854240197405,-3.230159769623423,-2.955874345603682
0.0463,-0.7446575979792046,-0.2449815907341968,-3.226821308368608,-2.981839717634411
0.0464,-1.037494543144371,-0.2154359865470292,-3.22029837250636,-3.004862385959331
0.0465,-1.329307578683871,-0.1856777598520769,-3.2105974187116,-3.024919658859523
0.0466,-1.619808781193895,-0.1557363127701517,-3.197727959823259,-3.041991647053107
0.0467,-1.90871141868009,-0.1256411642753426,-3.181702738823637,-3.056061574548294
0.0468,-2.195730371284818,-0.09542200777846066,-3.162537578505146,-3.067115570726686
0.0469,-2.480582426070039,-0.06510870912907052,-3.140251352451278,-3.075142643322207
0.047,-2.762986436680672,-0.03473114057988802,-3.114866086244055,-3.080134945664167
0.0471,-3.042663704871895,-0.004319284291101511,-3.086406831657877,-3.082087547366775
0.0472,-3.319338244864378,0.02609680338836329,-3.05490165262254,-3.080998456010903
0.0473,-3.59273699215213,0.05648716151600075,-3.020381661084394,-3.076868822600395
0.0474,-3.862590139130436,0.08682177637822308,-2.982880920156466,-3.069702696534689
0.0475,-4.128631381682093,0.1170706784924236,-2.942436430183386,-3.059507108675809
0.0476,-4.390598161089986,0.1472040827812044,-2.899088113124141,-3.046292195905346
0.0477,-4.648231948924774,0.1771921997577466,-2.852878747379833,-3.03007094713758
0.0478,-4.901278493551741,0.2070054259942684,-2.803853934206161,-3.01085936020043
0.0479,-5.149488072068547,0.2366144143572533,-2.752062051688365,-2.988676466045618
0.048,-5.392615721908464,0.2659898516541399,-2.697554221841018,-2.963544073495158
0.0481,-5.630421510291274,0.295102779143178,-2.64038423245435,-2.935487011597528
0.0482,-5.862670765432055,0.3239245448325296,-2.5806084895881,-2.904533034420629
0.0483,-6.089134255032182,0.3524265579547983,-2.518286015007257,-2.870712572962056
0.0484,-6.309588507228209,0.3805807800929655,-2.453478293210438,-2.834059073303403
0.0485,-6.523815975993288,0.4083594831508908,-2.386249265890393,-2.794608749041283
0.0486,-6.731605200551136,0.4357351005176393,-2.316665324109068,-2.752400424626707
0.0487,-6.932751150462558,0.4626807206063286,-2.244795106377254,-2.707475826983582
0.0488,-7.127055333106896,0.4891697921443718,-2.170709525775623,-2.659879317919995
0.0489,-7.314325940985737,0.5151760270524042,-2.094481748556523,-2.609657775608927
0.049,-7.49437820478432,0.5406738763906658,-2.01618695816722,-2.556860834557885
0.0491,-7.667034441641924,0.5656381945716511,-1.93590241512751,-2.501540609699161
0.0492,-7.832124205961141,0.5900442145480405,-1.853707405325172,-2.443751619873212
0.0493,-7.989484629304752,0.6138679752908627,-1.769682990082724,-2.383550965373586
0.0494,-8.138960408791419,0.6370859515604339,-1.683912098495471,-2.320998050055905
0.0495,-8.280403981646728,0.6596751279887005,-1.596479424304651,-2.256154552293351
0.0496,-8.413675825025258,0.6816133419268238,-1.507471188119521,-2.189084530046344
0.0497,-8.538644386283861,0.7028788878807579,-1.416975259746939,-2.119854147627697
0.0498,-8.655186305299747,0.7234507188052652,-1.325080978982969,-2.048531697788234
0.0499,-8.763186641598837,0.7433086642356026,-1.231878962058479,-1.975187626294082
0.05,-8.862538750900006,0.7624330209277415,-1.137461249099994,-1.899894270027735
0.0501,-8.953144582817789,0.7808049107073505,-1.041921020839528,-1.822725931546878
0.0502,-9.034914797057054,0.7984063307338598,-0.9453524872256622,-1.743758817959522
0.0503,-9.107768593429503,0.815219744189261,-0.8478510526012979,-1.663070796790559
0.0504,-9.171634115818648,0.8312286242030742,-0.7495128973261274,-1.580741521529202
0.0505,-9.226448410520584,0.846417286051667,-0.6504349954307926,-1.49685228148246
0.0506,-9.27215723656904,0.8607705191896529,-0.5507152707178466,-1.4114857899075
0.0507,-9.308715576162911,0.8742742952086133,-0.4504520432245638,-1.324726338433177
0.0508,-9.336087401231765,0.8869153604600382,-0.349744210054542,-1.23665957051458
0.0509,-9.354245555263063,0.8986810342633036,-0.2486913015063585,-1.147372335769662
0.051,-9.363172219557768,0.9095598476402194,-0.1473929433937755,-1.056952791033995
0.0511,-9.362858618536219,0.9195411109637051,-0.04594907100603862,-0.9654901819697437
0.0512,-9.353304927998149,0.9286147932445616,0.05554006911563825,-0.8730747241289234
0.0513,-9.334520685452588,0.9367720847277856,0.1569744286127879,-0.7797976561149977
0.0514,-9.306524439276568,0.9440049492365725,0.2582539146163896,-0.6857510346201829
0.0515,-9.269343704094352,0.9503061022205025,0.3592784622106659,-0.5910276400098365
0.0516,-9.223015287365788,0.9556694689487111,0.4599484869271517,-0.4957209820215593
0.0517,-9.167584889709408,0.960089732685892,0.5601646196699814,-0.3999251130159106
0.0518,-9.103107129589251,0.9635624278360623,0.6598278745691175,-0.3037345532669448
0.0519,-9.02964575556161,0.9660842659076023,0.758840012816,-0.2072442530916024
0.052,-8.947273207235595,0.9676526918195467,0.8571032634861169,-0.1105494283334299
0.0521,-8.856070732372554,0.9682661062190878,0.954520608615657,-0.01374549760343082
0.0522,-8.756128452113252,0.96792403313283,1.050996024355376,0.08307199122254598
0.0523,-8.647544894095113,0.9666266974708342,1.146434197790521,0.1798075003196868
0.0524,-8.530427225285045,0.9643753873571342,1.240740951070945,0.276365563713811
0.0525,-8.404891136328112,0.96117244057586,1.333823324462639,0.3726508838867787
0.0526,-8.271060360186649,0.9570208566329896,1.425589300899776,0.4685684442667862
0.0527,-8.129067043431299,0.951924805656184,1.515948390194779,0.5640235845385955
0.0528,-7.979051405933887,0.9458894059128548,1.604811508447002,0.6589221025341468
0.0529,-7.821161309075198,0.9389204316146494,1.69209077254543,0.7531703409307803
0.053,-7.655552688458033,0.9310248733925778,1.77770016553331,0.8466752921407322
