"time","resistor.i","resistor.v","inductor.i","inductor.v","voltageSource.i","voltageSource.v"
0.0388,0.3622763697080017,1.811381848540008,0.3622763697080017,7.486383010342504,-0.3622763697080017,9.297764858882513
0.0389,0.3995233853798153,1.997616926899076,0.3995233853798153,7.411190762643177,-0.3995233853798153,9.408807689542254
0.039,0.4363760998160363,2.181880499080182,0.4363760998160363,7.328684663871353,-0.4363760998160363,9.510565162951535
0.0391,0.4727981438266505,2.363990719133253,0.4727981438266505,7.238946137636181,-0.4727981438266505,9.602936856769434
0.0392,0.5087535684868931,2.543767842434466,0.5087535684868931,7.142063768851843,-0.5087535684868931,9.685831611286309
0.0393,0.5442068963890708,2.721034481945354,0.5442068963890708,7.038133137442122,-0.5442068963890708,9.759167619387476
0.0394,0.5791231487500164,2.895615743750082,0.5791231487500164,6.927256763536803,-0.5791231487500164,9.822872507286885
0.0395,0.613467884603909,3.067339423019545,0.613467884603909,6.809543982931833,-0.613467884603909,9.876883405951379
0.0396,0.6472072420185098,3.236036210092549,0.6472072420185098,6.68511080305223,-0.6472072420185098,9.921147013144779
0.0397,0.6803078736788267,3.401539368394134,0.6803078736788267,6.554080277636667,-0.6803078736788267,9.955619646030801
0.0398,0.7127370916368696,3.563685458184348,0.7127370916368696,6.416581826098368,-0.7127370916368696,9.980267284282716
0.0399,0.744462944568434,3.72231472284217,0.744462944568434,6.272750880815146,-0.744462944568434,9.995065603657316
0.04,0.7754541545991371,3.877270772995685,0.7754541545991371,6.122729227004315,-0.7754541545991371,10
0.0401,0.8056800942992575,4.028400471496287,0.8056800942992575,5.96666513216103,-0.8056800942992575,9.995065603657316
0.0402,0.8351108809709019,4.17555440485451,0.8351108809709019,5.804712879428206,-0.8351108809709019,9.980267284282716
0.0403,0.8637175284800628,4.318587642400314,0.8637175284800628,5.637032003630487,-0.8637175284800628,9.955619646030801
0.0404,0.891471831746014,4.457359158730069,0.891471831746014,5.46378785441471,-0.891471831746014,9.921147013144779
0.0405,0.9183463720332113,4.591731860166057,0.9183463720332113,5.28515154578532,-0.9183463720332113,9.876883405951377
0.0406,0.9443145523345561,4.72157276167278,0.9443145523345561,5.10129974561411,-0.9443145523345561,9.82287250728689
0.0407,0.9693508123959301,4.846754061979651,0.9693508123959301,4.912413557407824,-0.9693508123959301,9.759167619387474
0.0408,0.9934304765160813,4.967152382580407,0.9934304765160813,4.7186792287059,-0.9934304765160813,9.685831611286307
0.0409,1.016529767256319,5.082648836281595,1.016529767256319,4.520288020487837,-1.016529767256319,9.602936856769432
0.041,1.03862577436231,5.193128871811551,1.03862577436231,4.317436291139982,-1.03862577436231,9.510565162951533
0.0411,1.059696785657743,5.298483928288713,1.059696785657743,4.110323761253545,-1.059696785657743,9.408807689542257
