time,v1,v2,v3,i1,i2,i3
0.065127,-15122,17939,-2816.5,-7876.1,9343.1,-1466.9
0.0653,-15877,17433,-1556,-8269.4,9079.8,-810.43
0.065473,-16564,16852,-288.77,-8626.9,8777.3,-150.4
0.065647,-17178,16199,979.76,-8947.1,8436.8,510.29
0.06582,-17719,15475,2244.1,-9228.6,8059.8,1168.8
0.065993,-18183,14684,3498.7,-9470.2,7648,1822.2
0.066166,-18568,13830,4738.2,-9670.9,7203,2467.8
0.066339,-18873,12916,5957.3,-9829.8,6727,3102.8
0.066513,-19097,11946,7150.6,-9946.1,6221.8,3724.3
0.066686,-19237,10924,8313.1,-10020,5689.8,4329.7
0.066859,-19295,9855.6,9439.6,-10050,5133.1,4916.5
0.067032,-19269,8744.1,10525,-10036,4554.2,5481.9
0.067206,-19160,7594.9,11566,-9979.4,3955.7,6023.7
0.067379,-18969,6412.8,12556,-9879.5,3340,6539.5
0.067552,-18695,5202.9,13492,-9736.8,2709.8,7027
0.067725,-18340,3970.5,14370,-9552.1,2068,7484.1
0.067898,-17906,2721,15185,-9326.1,1417.2,7908.9
0.068072,-17395,1459.6,15935,-9059.7,760.23,8299.5
0.068245,-16808,191.96,16616,-8754.2,99.979,8654.2
0.068418,-16149,-1076.6,17225,-8410.9,-560.71,8971.6
0.068591,-15420,-2340.5,17760,-8031.1,-1219,9250.1
0.068764,-14624,-3594.3,18218,-7616.7,-1872,9488.7
0.068938,-13765,-4832.5,18598,-7169.3,-2517,9686.2
0.069111,-12846,-6050,18896,-6690.9,-3151,9841.9
0.069284,-11872,-7241.2,19114,-6183.6,-3771.5,9955
0.069457,-10847,-8401.3,19248,-5649.5,-4375.7,10025
0.06963,-9774.7,-9525,19300,-5091,-4960.9,10052
0.069804,-8660.2,-10608,19268,-4510.5,-5524.7,10035
0.069977,-7508.1,-11644,19152,-3910.5,-6064.7,9975.2
0.07015,-6323.6,-12631,18954,-3293.6,-6578.5,9872
0.070323,-5111.8,-13562,18674,-2662.4,-7063.8,9726.2
0.070497,-3877.8,-14436,18314,-2019.7,-7518.6,9538.3
0.07067,-2627.1,-15247,17874,-1368.3,-7940.9,9309.2
0.070843,-1365,-15992,17356,-710.91,-8328.9,9039.8
0.071016,-96.907,-16667,16764,-50.472,-8680.9,8731.4
0.071189,1171.6,-17271,16100,610.2,-8995.4,8385.2
0.071363,2435,-17800,15365,1268.2,-9271,8002.8
0.071536,3688,-18253,14565,1920.8,-9506.6,7585.8
0.071709,4925,-18626,13701,2565.1,-9701.1,7136
0.071882,6140.8,-18919,12778,3198.3,-9853.6,6655.3
