time,v2_0
4.023700e+00,6494.400963
4.023750e+00,6257.921612
4.023800e+00,6019.898213
4.023850e+00,5780.389494
4.023900e+00,5539.454550
4.023950e+00,5297.152829
4.024000e+00,5053.544115
4.024050e+00,4808.688514
4.024100e+00,4562.646442
4.024150e+00,4315.478605
4.024200e+00,4067.245989
4.024250e+00,3818.009841
4.024300e+00,3567.831656
4.024350e+00,3316.773162
4.024400e+00,3064.896304
4.024450e+00,2812.263228
4.024500e+00,2558.936270
4.024550e+00,2304.977932
4.024600e+00,2050.450875
4.024650e+00,1795.417900
4.024700e+00,1539.941933
4.024750e+00,1284.086009
4.024800e+00,1027.913256
4.024850e+00,771.486880
4.024900e+00,514.870152
4.024950e+00,258.126388
4.025000e+00,1.318935
4.025050e+00,-255.488844
4.025100e+00,-512.233584
4.025150e+00,-768.851938
4.025200e+00,-1025.280589
4.025250e+00,-1281.456267
4.025300e+00,-1537.315766
4.025350e+00,-1792.795954
4.025400e+00,-2047.833796
4.025450e+00,-2302.366366
4.025500e+00,-2556.330862
4.025550e+00,-2809.664621
4.025600e+00,-3062.305137
4.025650e+00,-3314.190075
4.025700e+00,-3565.257286
4.025750e+00,-3815.444823
4.025800e+00,-4064.690955
4.025850e+00,-4312.934186
4.025900e+00,-4560.113265
4.025950e+00,-4806.167204
4.026000e+00,-5051.035293
4.026050e+00,-5294.657115
4.026100e+00,-5536.972559
4.026150e+00,-5777.921837
4.026200e+00,-6017.445500
4.026250e+00,-6255.484448
4.026300e+00,-6491.979948
4.026350e+00,-6726.873650
4.026400e+00,-6960.107596
4.026450e+00,-7191.624239
4.026500e+00,-7421.366457
4.026550e+00,-7649.277563
4.026600e+00,-7875.301325
4.026650e+00,-8099.381973
4.026700e+00,-8321.464220
4.026750e+00,-8541.493270
4.026800e+00,-8759.414834
4.026850e+00,-8975.175144
4.026900e+00,-9188.720963
4.026950e+00,-9399.999603
4.027000e+00,-9608.958933
4.027050e+00,-9815.547397
4.027100e+00,-10019.714020
4.027150e+00,-10221.408430
4.027200e+00,-10420.580859
4.027250e+00,-10617.182166
4.027300e+00,-10811.163842
4.027350e+00,-11002.478024
4.027400e+00,-11191.077510
4.027450e+00,-11376.915765
4.027500e+00,-11559.946936
4.027550e+00,-11740.125863
4.027600e+00,-11917.408089
4.027650e+00,-12091.749873
4.027700e+00,-12263.108199
4.027750e+00,-12431.440786
4.027800e+00,-12596.706101
4.027850e+00,-12758.863367
4.027900e+00,-12917.872574
4.027950e+00,-13073.694490
4.028000e+00,-13226.290667
4.028050e+00,-13375.623454
4.028100e+00,-13521.656006
4.028150e+00,-13664.352292
4.028200e+00,-13803.677104
4.028250e+00,-13939.596064
4.028300e+00,-14072.075638
4.028350e+00,-14201.083137
4.028400e+00,-14326.586732
4.028450e+00,-14448.555455
4.028500e+00,-14566.959214
4.028550e+00,-14681.768793
4.028600e+00,-14792.955865
4.028650e+00,-14900.492997
4.028700e+00,-15004.353655
4.028750e+00,-15104.512213
4.028800e+00,-15200.943959
4.028850e+00,-15293.625099
4.028900e+00,-15382.532766
4.028950e+00,-15467.645023
4.029000e+00,-15548.940870
4.029050e+00,-15626.400248
4.029100e+00,-15700.004046
4.029150e+00,-15769.734102
4.029200e+00,-15835.573213
4.029250e+00,-15897.505133
4.029300e+00,-15955.514581
4.029350e+00,-16009.587245
4.029400e+00,-16059.709783
4.029450e+00,-16105.869827
4.029500e+00,-16148.055989
4.029550e+00,-16186.257860
4.029600e+00,-16220.466013
4.029650e+00,-16250.672010
4.029700e+00,-16276.868396
4.029750e+00,-16299.048708
4.029800e+00,-16317.207474
4.029850e+00,-16331.340213
4.029900e+00,-16341.443439
4.029950e+00,-16347.514657
4.030000e+00,-16349.552371
4.030050e+00,-16347.556078
4.030100e+00,-16341.526269
4.030150e+00,-16331.464434
4.030200e+00,-16317.373054
4.030250e+00,-16299.255606
4.030300e+00,-16277.116561
4.030350e+00,-16250.961381
4.030400e+00,-16220.796519
4.030450e+00,-16186.629418
4.030500e+00,-16148.468509
4.030550e+00,-16106.323207
4.030600e+00,-16060.203911
4.030650e+00,-16010.121999
4.030700e+00,-15956.089830
4.030750e+00,-15898.120734
4.030800e+00,-15836.229014
4.030850e+00,-15770.429942
4.030900e+00,-15700.739753
4.030950e+00,-15627.175641
4.031000e+00,-15549.755757
4.031050e+00,-15468.499204
4.031100e+00,-15383.426030
4.031150e+00,-15294.557225
4.031200e+00,-15201.914718
4.031250e+00,-15105.521366
4.031300e+00,-15005.400952
4.031350e+00,-14901.578180
4.031400e+00,-14794.078667
4.031450e+00,-14682.928936
4.031500e+00,-14568.156412
4.031550e+00,-14449.789414
4.031600e+00,-14327.857146
4.031650e+00,-14202.389694
4.031700e+00,-14073.418015
4.031750e+00,-13940.973931
4.031800e+00,-13805.090120
4.031850e+00,-13665.800110
4.031900e+00,-13523.138268
4.031950e+00,-13377.139794
4.032000e+00,-13227.840711
4.032050e+00,-13075.277856
4.032100e+00,-12919.488872
